,dataset,model_name,n_clf,tree_max_depth,tree_min_entropy_diff,tree_min_node_size,svm_lambda,max_attr,mean_acc,std_acc,min_acc,max_acc,mean_recall,std_recall,min_recall,max_recall,mean_precision,std_precision,min_precision,max_precision,mean_f1,std_f1,min_f1,max_f1,mean_time,std_time
0,breast_cancer,svm,14,6,0.01,40,0.005,,0.884,0.04536701885731528,0.747,0.924,0.905,0.0704949813816558,0.655,0.979,0.918,0.019209830816537658,0.873,0.949,0.897,0.041191374339319506,0.764,0.944,12.3466640,0.610722
0,breast_cancer,tree,14,6,0.01,40,0.005,,0.897,0.008757533899449098,0.881,0.912,0.936,0.015321409856798395,0.911,0.966,0.906,0.01372448906152795,0.883,0.928,0.919,0.007237520620357884,0.907,0.931,41.94784030914307,3.3625556883954433
0,breast_cancer,hybrid,14,6,0.01,40,0.005,16,0.926,0.0071815318700121245,0.906,0.942,0.953,0.010424279351590689,0.930,0.975,0.932,0.01050059045958842,0.903,0.950,0.941,0.005320148120814537,0.927,0.955,142.93724635124207,6.9283233297543
0,breast_cancer,hybrid_only_svm,14,6,0.01,40,0.005,16,0.900,0.015349996742670678,0.851,0.929,0.921,0.02828975786393372,0.828,0.977,0.923,0.010006717743596039,0.905,0.938,0.920,0.013060381055625013,0.872,0.945,72.58553840637207,12.256834786426207
0,breast_cancer,hybrid_only_tree,14,6,0.01,40,0.005,16,0.924,0.007682291324858756,0.903,0.936,0.954,0.011644466497010484,0.925,0.972,0.928,0.00978210611269369,0.910,0.944,0.940,0.007725401304144757,0.922,0.950,56.63948956489563,10.425650658862544
0,ionosphere,svm,14,6,0.01,40,0.005,,0.8336,0.014073393626388243,0.800,0.860,0.9255908864975056,0.023146543110113153,0.887,0.,0.8342127945252612,0.010576832606001608,0.809,0.852,0.8759060976043576,0.011435361013404841,0.850,0.898,5.921801700592041,0.3422995353113576
0,ionosphere,tree,14,6,0.01,40,0.005,,0.8684571428571429,0.021691416528673478,0.814,0.900,0.9535155052661258,0.01396061645930515,0.928,0.978,0.865667870155248,0.028236911572151302,0.801,0.918,0.9038988324356381,0.014303627669311408,0.882,0.928,21.43520893096924,1.1402183089865767
0,ionosphere,hybrid,14,6,0.01,40,0.005,16,0.8643428571428572,0.012391438782564417,0.837,0.886,0.9813017312839283,0.007590432737756755,0.964,0.992,0.8362392446291355,0.013522535677868836,0.813,0.863,0.902156593438314,0.008092741691135632,0.882,0.916,71.6920756816864,1.781367167630081
0,ionosphere,hybrid_only_svm,14,6,0.01,40,0.005,16,0.8518857142857144,0.008268158741799292,0.834,0.871,0.9469714303398874,0.009774934923290133,0.928,0.965,0.841754587174384,0.007455342830780857,0.825,0.854,0.8900329669542295,0.006159513070498037,0.878,0.904,76.43354221343994,5.1360703028136605
0,ionosphere,hybrid_only_tree,14,6,0.01,40,0.005,16,0.8524571428571428,0.016794168083970485,0.817,0.880,0.9844698671827287,0.01062818565002891,0.963,0.996,0.822294424006278,0.017638101996525674,0.786,0.848,0.8943952548922482,0.011347371693908866,0.866,0.913,86.41313888549804,2.7714009400837543
0,biodegrataion,svm,14,6,0.01,40,0.005,,0.7632985781990523,0.01851526238711388,0.729,0.790,0.6946479664120292,0.1486444383938169,0.410,0.947,0.7263854602655782,0.07418380969384433,0.617,0.864,0.6308489130347437,0.07661337880243352,0.473,0.745,19.23622124671936,0.8791454771280063
0,biodegrataion,tree,14,6,0.01,40,0.005,,0.7837345971563981,0.011682032811690713,0.762,0.813,0.6665170380975717,0.02877572570263662,0.615,0.713,0.6930927894799265,0.017595473133508184,0.668,0.737,0.6718458420419529,0.02173036888817898,0.635,0.721,64.83644528388977,5.58489306780431
0,biodegrataion,hybrid,14,6,0.01,40,0.005,16,0.8211184834123223,0.010815726607575614,0.805,0.843,0.6530901596659666,0.04788616410382471,0.554,0.731,0.7884083796838718,0.022047528451442613,0.742,0.850,0.7061979896122752,0.02696042134867783,0.647,0.749,240.33988666534424,12.075279491878518
0,biodegrataion,hybrid_only_svm,14,6,0.01,40,0.005,16,0.8078483412322275,0.01333907620234071,0.778,0.839,0.6372741387340397,0.06888441876736856,0.444,0.751,0.7831630740220917,0.022454181255037085,0.725,0.814,0.6718599523899493,0.04128542165162392,0.574,0.751,213.9146323776245,19.377599270038754
0,biodegrataion,hybrid_only_tree,14,6,0.01,40,0.005,16,0.8087962085308058,0.008164962141359795,0.795,0.817,0.6528429422189737,0.030212443476285232,0.578,0.729,0.7519065684974204,0.016677256270281358,0.726,0.794,0.694594500185473,0.017165813897304094,0.656,0.741,265.2414908218384,18.079900377641334
